Item,Link,Qty,Price
Raspberry Pi 5 (4GB),https://vilros.com/products/raspberry-pi-5?variant=40065551269982,1,60
64GB Samsung EVO+ microSD,https://vilros.com/products/copy-of-samsung-evo-micro-sd-card-preloaded-w-noobs,1,10.99
MicroSD to USB Adapter,https://vilros.com/products/micro-sd-to-usb-adapter,1,5
MAX98357 I²S Mono Amp,https://www.amazon.com/MakerHawk-Amplifier-Amplifiers-Filterless-Raspberry/dp/B07PS653CD,1,6.99
Dayton PC105-4 4″ Speaker,https://www.amazon.com/dp/B0751FHSV1,1,17.79
2.8″ SPI Arducam TFT + 5MP Camera,https://vilros.com/products/raspberry-pi-lcd-camera-module,1,6.99
12mm Push Buttons (10-pack),https://vilros.com/products/12mm-button-raspberry-pi,1,6.99
KY-040 Rotary Encoders (2-pack),https://www.amazon.com/dp/B0D2TTG858,1,6.99
Dupont Jumper Wire Bundle,https://www.amazon.com/gp/product/B07GD2BWPY,1,6.98
M3 Nylon Standoffs/Screws Kit,https://www.amazon.com/gp/product/B0F32PK3ZQ,1,6.76
Soldering Kit,https://www.amazon.com/gp/product/B087767KNW,1,12.99
Pi 5 Active Cooler,https://vilros.com/products/raspberry-pi-5-active-cooler,1,12
3D Printing Filament/cost,[local],1,10
Pololu Power Switch (optional),https://www.pololu.com/product/2810,1,9.90

Estimated Subtotal,,,180.37
Estimated Sales Tax (7.5%),,,13.53
Estimated Total,,,193.90
Total without Polulu Switch,,,183.26
